Date,NIFTY_BANK,NIFTY_IT,NIFTY_FMCG
2014-01-01,16861.19921875,9957.4501953125,10237.630859375
2014-02-01,16845.69921875,10338.5498046875,10764.5751953125
2014-03-01,18085.25,9298.0,12741.9013671875
2014-04-01,17573.25,9227.9501953125,12855.7001953125
2014-05-01,17831.599609375,8970.2998046875,14793.228515625
2014-06-01,17434.0,9912.2998046875,15241.7236328125
2014-07-01,18778.75,10304.7001953125,15267.421875
2014-08-01,19308.599609375,10679.650390625,15740.2177734375
2014-09-01,19876.05078125,11302.7001953125,15392.0712890625
2014-10-01,19393.900390625,11341.0498046875,17044.853515625
2014-11-01,20027.44921875,11898.0498046875,18512.935546875
2014-12-01,20126.19921875,11216.2998046875,18736.431640625
2015-01-01,21165.75,11824.75,19843.51953125
2015-02-01,22063.94921875,12554.9501953125,19074.328125
2015-03-01,19879.599609375,12083.0,18206.439453125
2015-04-01,19510.69921875,11001.0498046875,18337.88671875
2015-05-01,20107.30078125,11575.0498046875,18721.1328125
2015-06-01,20155.75,11037.400390625,18295.88671875
2015-07-01,20920.44921875,11594.150390625,18729.6328125
2015-08-01,20111.5,11605.7001953125,17146.3515625
2015-09-01,19956.650390625,12032.099609375,17216.1015625
2015-10-01,20118.30078125,11486.900390625,17354.298828125
2015-11-01,20278.55078125,11206.0,17430.197265625
2015-12-01,20192.650390625,11212.5498046875,16922.001953125
2016-01-01,19132.650390625,11236.150390625,15522.2197265625
2016-02-01,18331.599609375,10278.400390625,13946.23828125
2016-03-01,19764.150390625,11309.2998046875,16141.462890625
2016-04-01,19737.69921875,11196.25,16794.8046875
2016-05-01,20521.650390625,11395.849609375,17620.6953125
2016-06-01,21608.44921875,11120.150390625,17935.19140625
2016-07-01,22228.849609375,10913.2998046875,18952.9296875
2016-08-01,22609.30078125,10546.099609375,19787.369140625
2016-09-01,21542.05078125,10292.2998046875,19285.474609375
2016-10-01,21547.94921875,10048.400390625,19555.72265625
2016-11-01,20487.900390625,10087.7001953125,18627.583984375
2016-12-01,20754.099609375,10399.25,18176.98828125
2017-01-01,21832.650390625,9848.5,19514.923828125
2017-02-01,22338.19921875,10680.9501953125,20607.009765625
2017-03-01,23542.30078125,10703.25,21443.900390625
2017-04-01,23675.400390625,9943.7001953125,22357.990234375
2017-05-01,25841.80078125,10549.099609375,23424.529296875
2017-06-01,26752.05078125,10155.0498046875,23210.9296875
2017-07-01,25744.349609375,10755.75,25103.359375
2017-08-01,25834.900390625,10558.25,24318.1171875
2017-09-01,24480.80078125,10475.349609375,24052.720703125
2017-10-01,25687.69921875,10837.900390625,25019.05859375
2017-11-01,25820.05078125,11115.349609375,25332.10546875
2017-12-01,26851.5,11665.75,25539.15234375
2018-01-01,27127.30078125,12986.400390625,27379.130859375
2018-02-01,26513.69921875,12809.0,25107.109375
